Dataset,Vocabulary,Exempt_Mode,Model_ID,SARI_Avg,SARI_Median,SARI_Min,SARI_Max,SARI_P90,BLEU_Avg,BLEU_Median,BLEU_Min,BLEU_Max,BLEU_P90,METEOR_Avg,METEOR_Median,METEOR_Min,METEOR_Max,METEOR_P90,BERTScore_Avg,BERTScore_Median,BERTScore_Min,BERTScore_Max,BERTScore_P90,Jaccard_Similarity_Avg,Jaccard_Similarity_Median,Jaccard_Similarity_Min,Jaccard_Similarity_Max,Jaccard_Similarity_P90,Cosine_Similarity_Avg,Cosine_Similarity_Median,Cosine_Similarity_Min,Cosine_Similarity_Max,Cosine_Similarity_P90,Compression_Ratio_Avg,Compression_Ratio_Median,Compression_Ratio_Min,Compression_Ratio_Max,Compression_Ratio_P90
turk_corpus,ThingExplainer1000.txt,english_stopwords,MLM,31.5011,30.9309,14.7094,54.6511,40.4434,17.2432,13.6744,1.3039,62.9813,34.8478,44.4603,44.0613,7.5188,79.9077,64.7615,80.6526,81.1102,65.2174,95.2088,87.7968,35.2219,33.3333,5.0,73.6842,52.0762,83.3491,83.6468,66.5657,98.2458,90.7961,0.9344,0.9412,0.6897,1.0,1.0
asset,ThingExplainer1000.txt,english_stopwords,MLM,33.8777,33.0675,20.6529,63.7071,42.0015,18.6525,15.5801,2.3199,68.2827,35.7797,46.062,46.5406,11.3636,82.6141,63.892,81.0377,81.2657,66.2635,97.1401,87.5439,26.2516,25.0,0.0,60.0,40.0769,80.6166,81.1787,60.5286,95.5925,87.9937,0.9224,0.9412,0.3,2.5333,1.1429
sick,ThingExplainer1000.txt,english_stopwords,MLM,30.3226,29.3188,5.1282,66.6667,42.3631,13.2353,8.4718,0.0,79.4069,30.4399,35.2621,31.1888,0.0,92.6881,67.2772,81.3599,81.382,67.0511,96.9656,88.2934,54.4396,53.8462,18.1818,100.0,75.0,89.166,89.4079,75.3067,100.0,95.0122,0.9511,1.0,0.75,1.0,1.0
turk_corpus,ThingExplainer1000.txt,english_stopwords,T5,24.5836,24.4668,8.5612,51.7961,32.5943,1.054,0.0335,0.0,14.3372,2.6981,7.57,3.937,0.0,47.7498,21.93,62.3529,61.283,48.0227,83.7248,72.4819,6.5545,0.0,0.0,46.6667,20.0,61.1235,60.6034,42.6912,87.7807,71.6411,1.9418,1.5909,0.0286,15.5,4.3571
asset,ThingExplainer1000.txt,english_stopwords,T5,26.3195,25.6369,14.0859,45.9952,32.7027,1.2494,0.5845,0.0,12.8829,3.1692,8.5271,5.0,0.0,54.6059,23.0004,63.0196,61.843,48.5378,85.6164,72.7724,5.5921,0.0,0.0,39.5349,17.2714,60.2235,59.8783,41.8195,80.4072,70.0813,1.8772,1.7222,0.0286,10.3333,3.9133
sick,ThingExplainer1000.txt,english_stopwords,T5,25.7356,28.2505,3.5836,42.6736,32.1374,0.1241,0.0,0.0,4.1887,0.0,1.158,0.0,0.0,23.7234,2.1733,57.5221,55.7515,49.6119,81.7094,63.7354,2.2632,0.0,0.0,44.4444,0.0,60.5369,58.6629,49.4293,89.3987,66.6836,0.7123,0.1,0.0476,15.25,2.8814
turk_corpus,ThingExplainer1000.txt,english_stopwords,BYT5,25.848,25.7894,10.2199,46.5513,33.3229,3.3655,2.416,0.0,20.2108,6.8198,12.2518,9.901,0.0,51.4541,25.1694,67.7782,67.7357,54.9201,87.8945,74.8584,12.3419,10.5263,0.0,47.3684,25.0,68.2381,67.9099,51.1265,91.4676,78.5952,1.7497,1.5263,0.0192,7.5,2.9
asset,ThingExplainer1000.txt,english_stopwords,BYT5,27.5677,27.2145,16.2473,48.9923,33.1592,3.5687,2.554,0.0,20.0869,7.6993,13.7248,11.358,0.0,52.9487,26.7296,68.3261,68.3011,55.4526,87.2876,75.3573,9.9183,8.6957,0.0,44.4444,20.0,66.7496,66.1548,49.1437,86.0854,76.5144,1.6596,1.4706,0.0294,5.5,2.8
sick,ThingExplainer1000.txt,english_stopwords,BYT5,29.3135,29.8266,5.8824,62.6984,38.7596,2.1243,1.4764,0.0,29.1087,4.3651,12.7914,8.7726,0.0,74.2297,29.5255,70.4281,70.2435,57.0622,88.5619,77.5636,22.1134,21.4286,0.0,63.6364,44.4444,73.9415,73.9908,54.2517,89.5825,84.0836,2.8217,2.5833,0.9565,8.25,4.2536
turk_corpus,ThingExplainer1000.txt,english_stopwords,EMB_SUB,31.4227,31.1128,14.7094,56.0015,40.8533,14.9869,11.0991,1.1815,61.926,32.6171,39.0212,38.7205,7.5188,84.3611,59.5356,76.0728,75.7422,57.9633,94.8955,83.8792,35.0973,33.3333,7.6923,73.6842,50.0,77.3272,77.168,59.1231,95.5314,86.4164,0.9957,1.0,0.9038,1.0,1.0
asset,ThingExplainer1000.txt,english_stopwords,EMB_SUB,33.5329,32.6637,20.1348,59.9653,41.4874,15.8547,11.9901,1.4252,61.6261,34.502,39.9048,39.1182,8.2645,80.7183,59.764,76.3083,75.614,60.8248,92.0024,83.8001,25.7633,24.2424,0.0,64.2857,40.1081,74.6325,74.4781,52.6141,91.8585,83.318,0.9804,1.0,0.3333,2.6,1.1667
sick,ThingExplainer1000.txt,english_stopwords,EMB_SUB,30.0504,29.1194,5.1282,66.6667,42.5939,12.9933,8.1858,0.0,79.4069,30.0759,37.7442,32.3483,0.0,93.375,72.2253,81.2008,80.7069,67.8535,96.753,88.3522,55.1076,53.8462,20.0,100.0,73.3333,88.7478,88.4478,76.9441,100.0,95.0348,1.0,1.0,1.0,1.0,1.0
turk_corpus,ThingExplainer1000.txt,none,MLM,31.46,30.8775,14.7094,54.6511,40.3849,17.0318,13.4008,1.3039,62.9813,34.8278,43.9757,43.367,7.5188,79.9077,64.0897,80.4747,81.0096,64.6949,95.2088,87.637,34.8703,33.3333,5.0,73.6842,50.3704,83.1584,83.4116,65.1921,98.2458,90.713,0.9344,0.9412,0.6552,1.0,1.0
asset,ThingExplainer1000.txt,none,MLM,33.8263,33.0675,20.6711,59.4048,41.9765,18.4481,15.5101,2.3199,64.2543,35.6355,45.6872,46.046,11.3636,82.6141,63.881,80.9193,81.1417,66.2635,97.1401,87.4787,26.0614,25.0,0.0,60.0,40.0769,80.4586,81.0806,60.5286,95.5925,87.9701,0.9224,0.9375,0.3,2.5333,1.1286
sick,ThingExplainer1000.txt,none,MLM,30.3261,29.7222,5.1282,66.6667,42.032,13.0553,8.166,0.0,79.4069,29.9879,34.6116,29.8942,0.0,92.6881,66.178,81.2114,81.2523,67.0511,96.9656,88.258,53.773,53.8462,18.1818,100.0,75.0,88.9115,89.1708,75.3067,100.0,94.9799,0.9483,0.9428,0.75,1.0,1.0
turk_corpus,ThingExplainer1000.txt,none,T5,24.5879,24.4668,8.5612,51.7961,32.6189,1.0676,0.0335,0.0,14.3372,2.7447,7.5688,3.937,0.0,47.7498,21.93,62.3224,61.283,48.0227,83.7248,72.4355,6.5537,0.0,0.0,46.6667,20.0,61.127,60.6041,42.6912,87.7807,71.6411,1.9376,1.5897,0.0286,15.5,4.3571
